instance_id,base_commit,patch_added_lines,patch_deleted_lines,patch_total_changes,patch_net_changes,files_changed,has_function_changes,test_patch_total_changes,total_changes
django__django-15789,d4d5427571b4bf3a21c902276c2a00215c2a37cc,4,2,6,2,1,True,11,17
django__django-12470,142ab6846ac09d6d401e26fc8b6b988a583ac0f5,3,3,6,0,1,False,17,23
django__django-13590,755dbf39fcdc491fe9b588358303e259c7750be4,5,1,6,4,1,False,10,16
django__django-15400,4c76ffc2d6c77c850b4bef8d9acc197d11c47937,6,0,6,6,1,True,11,17
django__django-16379,1d0fa848e084cad62d0bb6bde3b51e4862558e57,3,2,5,1,1,False,6,11
django__django-12308,2e0f04507b17362239ba49830d26fec504d46978,5,0,5,5,1,False,17,22
django__django-15738,6f73eb9d90cfec684529aab48d517e3d6449ba8c,3,2,5,1,1,False,50,55
django__django-13925,0c42cdf0d2422f4c080e93594d5d15381d6e955e,5,0,5,5,1,False,63,68
django__django-11039,d5276398046ce4a102776a1e67dcac2884d80dfe,3,2,5,1,1,False,39,44
django__django-16873,fce90950bef348803fa7cc3e6bc65f4bce429b82,3,2,5,1,1,False,18,23
django__django-13028,78ad4b4b0201003792bfdbf1a7781cbc9ee03539,4,1,5,3,1,False,13,18
django__django-15498,d90e34c61b27fba2527834806639eebbcfab9631,3,1,4,2,1,False,3,7
django__django-15061,2c01ebb4be5d53cbf6450f356c10e436025d6d07,1,3,4,-2,1,False,27,31
django__django-11099,d26b2424437dabeeca94d7900b37d2df4410da0c,2,2,4,0,1,False,4,8
django__django-12700,d51c50d836c5cf8db5566da17963f871be554615,4,0,4,4,1,False,35,39
django__django-11583,60dc957a825232fdda9138e2f8878b2ca407a7c9,4,0,4,4,1,False,11,15
django__django-16139,d559cb02da30f74debbb1fc3a46de0df134d2d80,3,1,4,2,1,False,22,26
django__django-12497,a4881f5e5d7ee38b7e83301331a0b4962845ef8a,2,2,4,0,1,False,33,37
django__django-14382,29345aecf6e8d53ccb3577a3762bb0c263f7558d,2,2,4,0,1,False,7,11
django__django-11910,d232fd76a85870daf345fd8f8d617fe7802ae194,4,0,4,4,1,False,24,28
django__django-13660,50c3ac6fa9b7c8a94a6d1dc87edf775e3bc4d575,2,2,4,0,1,False,41,45
django__django-13158,7af8f4127397279d19ef7c7899e93018274e2f9b,3,0,3,3,1,False,7,10
django__django-11001,ef082ebb84f00e38af4e8880d04e8365c2766d34,2,1,3,1,1,False,23,26
django__django-15695,647480166bfe7532e8c471fef0146e3a17e6c0c9,3,0,3,3,1,False,5,8
django__django-15320,b55ebe32417e0884b6b8b3e1bc0379033aa221af,2,1,3,1,1,False,9,12
django__django-12184,5d674eac871a306405b0fbbaeb17bbeba9c68bf3,2,1,3,1,1,False,15,18
django__django-14411,fa4e963ee7e6876581b5432363603571839ba00c,3,0,3,3,1,True,13,16
django__django-14915,903aaa35e5ceaa33bfc9b19b7f6da65ce5a91dd4,3,0,3,3,1,True,8,11
django__django-15902,44c24bf02835323d5418512ebe8e76166739ebf8,2,0,2,2,1,False,11,13
django__django-15851,b4817d20b9e55df30be0b1b2ca8c8bb6d61aab07,1,1,2,0,1,False,2,4
django__django-16527,bd366ca2aeffa869b7dbc0b0aa01caea75e6dc31,1,1,2,0,1,False,35,37
django__django-16046,ec13e801b820614ff374cb0046092caab8d67249,2,0,2,2,1,False,4,6
django__django-16255,444b6da7cc229a58a2c476a52e45233001dc7073,1,1,2,0,1,False,29,31
django__django-10914,e7fd69d051eaa67cb17f172a39b57253e9cb831a,1,1,2,0,1,False,2,4
django__django-13964,f39634ff229887bf7790c069d0c411b38494ca38,1,1,2,0,1,False,24,26
django__django-14017,466920f6d726eee90d5566e0a9948e92b33a122e,1,1,2,0,1,False,22,24
django__django-11049,17455e924e243e7a55e8a38f45966d8cbb27c273,1,1,2,0,1,False,2,4
django__django-11133,879cc3da6249e920b8d54518a0ae06de835d7373,1,1,2,0,1,False,4,6
django__django-12113,62254c5202e80a68f4fe6572a2be46a3d953de1a,2,0,2,2,1,False,18,20
django__django-12125,89d41cba392b759732ba9f1db4ff29ed47da6a56,1,1,2,0,1,False,25,27
django__django-10924,bceadd2788dc2dad53eba0caae172bd8522fd483,1,1,2,0,1,False,22,24
django__django-15781,8d160f154f0240a423e83ffe0690e472f837373c,1,1,2,0,1,False,9,11
django__django-17087,4a72da71001f154ea60906a2f74898d32b7322a7,1,1,2,0,1,False,13,15
django__django-14238,30e123ed351317b7527f632b3b7dc4e81e850449,1,1,2,0,1,False,27,29
django__django-14534,910ecd1b8df7678f45c3d507dde6bcb1faafa243,1,1,2,0,1,False,18,20
django__django-14580,36fa071d6ebd18a61c4d7f1b5c9d17106134bd44,1,1,2,0,1,False,7,9
django__django-14672,00ea883ef56fb5e092cbe4a6f7ff2e7470886ac4,1,1,2,0,1,False,47,49
django__django-14787,004b4620f6f4ad87261e149898940f2dcd5757ef,1,1,2,0,1,False,23,25
django__django-15347,7c4f3965098baad2396e24501e09237425a7bd6f,1,1,2,0,1,False,33,35
django__django-15388,c5cd8783825b5f6384417dac5f3889b4210b7d08,2,0,2,2,1,False,13,15
django__django-13447,0456d3e42795481a186db05719300691fe2a1029,1,0,1,1,1,False,5,6
django__django-13230,184a6eebb0ef56d5f1b1315a8e666830e37f3f81,1,0,1,1,1,False,15,16
django__django-12908,49ae7ce50a874f8a04cd910882fb9571ff3a0d7a,1,0,1,1,1,False,1,2
django__django-11179,19fc6376ce67d01ca37a91ef2f55ef769f50513a,1,0,1,1,1,False,9,10
django__django-15814,5eb6a2b33d70b9889e1cafa12594ad6f80773d3a,1,0,1,1,1,False,6,7
