instance_id,base_commit,patch_added_lines,patch_deleted_lines,patch_total_changes,patch_net_changes,files_changed,has_function_changes,test_patch_total_changes,total_changes
sympy__sympy-12236,d60497958f6dea7f5e25bc41e9107a6a63694d01,3,3,6,0,1,False,18,24
sympy__sympy-13043,a3389a25ec84d36f5cf04a4f2562d820f131db64,3,3,6,0,1,False,16,22
sympy__sympy-22840,d822fcba181155b85ff2b29fe525adbafb22b448,5,1,6,4,1,False,27,33
sympy__sympy-22005,2c83657ff1c62fc2761b639469fdac7f7561a72a,6,0,6,6,1,False,5,11
sympy__sympy-13915,5c1644ff85e15752f9f8721bc142bfbf975e7805,5,0,5,5,1,False,10,15
sympy__sympy-15609,15f56f3b0006d2ed2c29bde3c43e91618012c849,4,1,5,3,1,False,5,10
sympy__sympy-15345,9ef28fba5b4d6d0168237c9c005a550e6dc27d81,4,1,5,3,1,True,3,8
sympy__sympy-20590,cffd4e0f86fefd4802349a9f9b19ed70934ea354,5,0,5,5,1,False,6,11
sympy__sympy-13471,3546ac7ed78e1780c1a76929864bb33330055740,5,0,5,5,1,False,6,11
sympy__sympy-21171,aa22709cb7df2d7503803d4b2c0baa7aa21440b6,3,1,4,2,1,True,13,17
sympy__sympy-12454,d3fcdb72bfcbb560eb45264ac1c03f359436edef,2,2,4,0,1,False,5,9
sympy__sympy-21614,b4777fdcef467b7132c055f8ac2c9a5059e6a145,4,0,4,4,1,True,6,10
sympy__sympy-21847,d9b18c518d64d0ebe8e35a98c2fb519938b9b151,2,2,4,0,1,False,13,17
sympy__sympy-11897,e2918c1205c47345eb73c9be68b14c0f15fdeb17,3,1,4,2,1,False,2,6
sympy__sympy-17655,f5e965947af2410ded92cfad987aaf45262ea434,4,0,4,4,1,True,4,8
sympy__sympy-23262,fdc707f73a65a429935c01532cd3970d3355eab6,2,2,4,0,1,False,2,6
sympy__sympy-13971,84c125972ad535b2dfb245f8d311d347b45e5b8a,2,2,4,0,1,False,24,28
sympy__sympy-12171,ca6ef27272be31c9dc3753ede9232c39df9a75d8,3,0,3,3,1,True,10,13
sympy__sympy-14817,0dbdc0ea83d339936da175f8c3a97d0d6bafb9f8,2,1,3,1,1,False,7,10
sympy__sympy-19487,25fbcce5b1a4c7e3956e6062930f4a44ce95a632,3,0,3,3,1,True,12,15
sympy__sympy-13177,662cfb818e865f580e18b59efbb3540c34232beb,2,1,3,1,1,False,15,18
sympy__sympy-20212,a106f4782a9dbe7f8fd16030f15401d977e03ae9,2,0,2,2,1,False,3,5
sympy__sympy-18189,1923822ddf8265199dbd9ef9ce09641d3fd042b9,1,1,2,0,1,False,8,10
sympy__sympy-24213,e8c22f6eac7314be8d92590bfff92ced79ee03e2,1,1,2,0,1,False,16,18
sympy__sympy-15346,9ef28fba5b4d6d0168237c9c005a550e6dc27d81,1,1,2,0,1,False,11,13
sympy__sympy-24102,58598660a3f6ab3d918781c4988c2e4b2bdd9297,1,1,2,0,1,False,4,6
sympy__sympy-16988,e727339af6dc22321b00f52d971cda39e4ce89fb,1,1,2,0,1,False,5,7
sympy__sympy-17630,58e78209c8577b9890e957b624466e5beed7eb08,2,0,2,2,1,False,22,24
sympy__sympy-18057,62000f37b8821573ba00280524ffb4ac4a380875,1,1,2,0,1,False,24,26
sympy__sympy-13647,67e3c956083d0128a621f65ee86a7dacd4f9f19f,1,1,2,0,1,False,8,10
sympy__sympy-14774,8fc63c2d71752389a44367b8ef4aba8a91af6a45,1,1,2,0,1,False,4,6
sympy__sympy-22714,3ff4717b6aef6086e78f01cdfa06f64ae23aed7e,1,1,2,0,1,False,7,9
sympy__sympy-18621,b17ef6effe278d5b861d65896cc53442a6370d8f,1,1,2,0,1,False,4,6
sympy__sympy-13480,f57fe3f4b3f2cab225749e1b3b38ae1bf80b62f0,1,1,2,0,1,False,2,4
sympy__sympy-21627,126f80578140e752ad5135aac77b8ff887eede3e,2,0,2,2,1,False,2,4
sympy__sympy-21612,b4777fdcef467b7132c055f8ac2c9a5059e6a145,1,1,2,0,1,False,2,4
sympy__sympy-17139,1d3327b8e90a186df6972991963a5ae87053259d,2,0,2,2,1,False,9,11
