repo,repo,instance_id,base_commit,patch_added_lines,patch_deleted_lines,patch_total_changes,patch_net_changes,test_patch_added_lines,test_patch_deleted_lines,test_patch_total_changes,files_changed,has_function_changes,total_added_lines,total_deleted_lines,total_changes,change_type,Checker 0807 (Pass@1 ),,,,Checker 0803 (Pass@1 ),Siada Agent 0724,Siada Agent 0725£¨²î¼¯ÔËÐÐ£©,Siada Agent 0729£¨²î¼¯ÔËÐÐ£©,Siada Agent 0730£¨²î¼¯ÔËÐÐ£©,Siada Agent 0731(pass @1),Checker 0807 (Pass@1 )
django/django,django__django,django__django-12470,142ab6846ac09d6d401e26fc8b6b988a583ac0f5,3,3,6,0,16,1,17,1,FALSE,19,4,23,å¹³è¡¡___,0,0,0,0,0,0,0,0,0,0,0
django/django,django__django,django__django-12497,a4881f5e5d7ee38b7e83301331a0b4962845ef8a,2,2,4,0,31,2,33,1,FALSE,33,4,37,å¹³è¡¡___,1,2,2,4,1,1,1,1,1,1,1
django/django,django__django,django__django-12589,895f28f9cbed817c00ab68770433170d83132d90,14,1,15,13,17,0,17,1,FALSE,31,1,32,ä¸»èæ·»å_,0,0,0,0,1,1,1,1,1,0,0
django/django,django__django,django__django-12700,d51c50d836c5cf8db5566da17963f871be554615,4,0,4,4,35,0,35,1,FALSE,39,0,39,ä»_·»_,1,4,0,4,1,1,1,1,1,1,1
django/django,django__django,django__django-12708,447980e72ac01da1594dd3373a03ba40b7ee6f80,6,1,7,5,36,1,37,1,FALSE,42,2,44,ä¸»èæ·»å_,1,6,1,7,1,1,1,1,1,1,1
django/django,django__django,django__django-12747,c86201b6ed4f8256b0a0520c08aa674f623d4127,4,2,6,2,3,4,7,1,FALSE,7,6,13,ä¸»èæ·»å_,0,0,0,0,0,0,0,0,0,0,0
django/django,django__django,django__django-12856,8328811f048fed0dd22573224def8c65410c9f2e,6,0,6,6,67,0,67,1,FALSE,73,0,73,ä»_·»_,0,0,0,0,1,1,1,1,1,1,0
django/django,django__django,django__django-12908,49ae7ce50a874f8a04cd910882fb9571ff3a0d7a,1,0,1,1,1,0,1,1,FALSE,2,0,2,ä»_·»_,1,1,0,1,1,1,1,1,1,1,1
django/django,django__django,django__django-12915,4652f1f0aa459a7b980441d629648707c32e36bf,8,0,8,8,70,1,71,1,TRUE,78,1,79,ä»_·»_,1,8,0,8,1,1,1,1,1,0,1
django/django,django__django,django__django-12983,3bc4240d979812bd11365ede04c028ea13fdc8c6,6,5,11,1,7,0,7,1,FALSE,13,5,18,ä¸»èæ·»å_,1,6,5,11,1,1,1,1,1,1,1
django/django,django__django,django__django-13028,78ad4b4b0201003792bfdbf1a7781cbc9ee03539,4,1,5,3,10,3,13,1,FALSE,14,4,18,ä¸»èæ·»å_,1,4,1,5,1,1,1,1,1,1,1
django/django,django__django,django__django-13033,a59de6e89e8dc1f3e71c9a5a5bbceb373ea5247e,6,1,7,5,17,0,17,1,FALSE,23,1,24,ä¸»èæ·»å_,1,6,1,7,1,1,1,1,1,1,1
django/django,django__django,django__django-13158,7af8f4127397279d19ef7c7899e93018274e2f9b,3,0,3,3,7,0,7,1,FALSE,10,0,10,ä»_·»_,1,3,0,3,1,1,1,1,1,1,1
django/django,django__django,django__django-13220,16218c20606d8cd89c5393970c83da04598a3e04,20,0,20,20,269,0,269,1,TRUE,289,0,289,ä»_·»_,0,0,0,0,0,0,0,0,0,0,0
django/django,django__django,django__django-13230,184a6eebb0ef56d5f1b1315a8e666830e37f3f81,1,0,1,1,14,1,15,1,FALSE,15,1,16,ä»_·»_,0,0,0,0,0,0,0,0,0,0,0
django/django,django__django,django__django-13265,b2b0711b555fa292751763c2df4fe577c396f265,13,14,27,-1,109,0,109,1,FALSE,122,14,136,ä¸»è___,0,0,0,0,0,0,0,0,0,0,0
django/django,django__django,django__django-13315,36bc47069ce071e80c8129500de3b8664d2058a7,10,2,12,8,74,2,76,1,FALSE,84,4,88,ä¸»èæ·»å_,0,0,0,0,1,1,1,1,1,1,0
django/django,django__django,django__django-13321,35b03788b0607c1f8d2b64e4fa9e1669b0907ea4,9,0,9,9,10,5,15,1,FALSE,19,5,24,ä»_·»_,0,0,0,0,0,0,0,0,0,0,0
django/django,django__django,django__django-13401,453967477e3ddae704cd739eac2449c0e13d464c,23,3,26,20,30,0,30,1,FALSE,53,3,56,ä¸»èæ·»å_,1,23,3,26,1,1,1,1,1,1,1
django/django,django__django,django__django-13447,0456d3e42795481a186db05719300691fe2a1029,1,0,1,1,4,1,5,1,FALSE,5,1,6,ä»_·»_,1,1,0,1,1,1,1,1,1,1,1
django/django,django__django,django__django-13448,7b9596b974fb0ad1868b10c8c2174e10b72be403,11,1,12,10,57,5,62,1,FALSE,68,6,74,ä¸»èæ·»å_,0,0,0,0,0,0,0,0,0,0,0
django/django,django__django,django__django-13551,7f9e4524d6b23424cf44fbe1bf1f4e70f6bb066e,6,4,10,2,30,7,37,1,FALSE,36,11,47,ä¸»èæ·»å_,1,6,4,10,1,1,1,1,1,1,1
django/django,django__django,django__django-13590,755dbf39fcdc491fe9b588358303e259c7750be4,5,1,6,4,9,1,10,1,FALSE,14,2,16,ä¸»èæ·»å_,1,5,1,6,1,1,1,1,1,1,1
django/django,django__django,django__django-13658,0773837e15bb632afffb6848a58c59a791008fa1,6,1,7,5,16,1,17,1,FALSE,22,2,24,ä¸»èæ·»å_,1,6,1,7,1,1,1,1,1,1,1
django/django,django__django,django__django-13660,50c3ac6fa9b7c8a94a6d1dc87edf775e3bc4d575,2,2,4,0,41,0,41,1,FALSE,43,2,45,å¹³è¡¡___,0,0,0,0,1,0,0,0,0,0,0
django/django,django__django,django__django-13710,1bd6a7a0acc11e249fca11c017505ad39f15ebf6,5,2,7,3,49,0,49,1,FALSE,54,2,56,ä¸»èæ·»å_,1,5,2,7,1,1,1,1,1,1,1
django/django,django__django,django__django-13757,3f140dde51c0fe6c350acb7727bbe489a99f0632,15,4,19,11,4,0,4,1,FALSE,19,4,23,ä¸»èæ·»å_,1,15,4,19,1,1,1,1,1,1,1
django/django,django__django,django__django-13768,965d2d95c630939b53eb60d9c169f5dfc77ee0c6,9,0,9,9,22,7,29,1,TRUE,31,7,38,ä»_·»_,1,9,0,9,0,0,0,0,0,0,1
django/django,django__django,django__django-13925,0c42cdf0d2422f4c080e93594d5d15381d6e955e,5,0,5,5,51,12,63,1,FALSE,56,12,68,ä»_·»_,1,5,0,5,1,0,1,0,0,0,1
django/django,django__django,django__django-13933,42e8cf47c7ee2db238bf91197ea398126c546741,5,1,6,4,13,0,13,1,FALSE,18,1,19,ä¸»èæ·»å_,1,5,1,6,1,1,1,1,1,1,1
django/django,django__django,django__django-13964,f39634ff229887bf7790c069d0c411b38494ca38,1,1,2,0,21,3,24,1,FALSE,22,4,26,å¹³è¡¡___,1,1,1,2,1,0,1,1,1,1,1
django/django,django__django,django__django-14016,1710cdbe79c90665046034fe1700933d038d90ad,4,3,7,1,8,0,8,1,FALSE,12,3,15,ä¸»èæ·»å_,0,0,0,0,0,0,0,0,1,0,0
django/django,django__django,django__django-14017,466920f6d726eee90d5566e0a9948e92b33a122e,1,1,2,0,22,0,22,1,FALSE,23,1,24,å¹³è¡¡___,1,1,1,2,1,1,1,1,1,1,1
django/django,django__django,django__django-14155,2f13c476abe4ba787b6cb71131818341911f43cc,10,3,13,7,22,2,24,1,FALSE,32,5,37,ä¸»èæ·»å_,0,0,0,0,0,0,0,0,0,0,0
django/django,django__django,django__django-14238,30e123ed351317b7527f632b3b7dc4e81e850449,1,1,2,0,26,1,27,1,FALSE,27,2,29,å¹³è¡¡___,1,1,1,2,1,1,1,1,1,1,1
django/django,django__django,django__django-14382,29345aecf6e8d53ccb3577a3762bb0c263f7558d,2,2,4,0,7,0,7,1,FALSE,9,2,11,å¹³è¡¡___,1,2,2,4,1,1,1,1,1,1,1
django/django,django__django,django__django-14411,fa4e963ee7e6876581b5432363603571839ba00c,3,0,3,3,13,0,13,1,TRUE,16,0,16,ä»_·»_,1,3,0,3,1,1,1,1,1,1,1
django/django,django__django,django__django-14534,910ecd1b8df7678f45c3d507dde6bcb1faafa243,1,1,2,0,17,1,18,1,FALSE,18,2,20,å¹³è¡¡___,0,0,0,0,0,0,0,0,0,0,0
django/django,django__django,django__django-14580,36fa071d6ebd18a61c4d7f1b5c9d17106134bd44,1,1,2,0,7,0,7,1,FALSE,8,1,9,å¹³è¡¡___,1,1,1,2,1,1,1,1,1,1,1
django/django,django__django,django__django-14608,7f33c1e22dbc34a7afae7967783725b10f1f13b1,5,2,7,3,18,1,19,1,FALSE,23,3,26,ä¸»èæ·»å_,1,5,2,7,1,1,1,1,1,1,1
django/django,django__django,django__django-14667,6a970a8b4600eb91be25f38caed0a52269d6303d,6,1,7,5,8,0,8,1,FALSE,14,1,15,ä¸»èæ·»å_,0,0,0,0,0,0,0,0,0,0,0
django/django,django__django,django__django-14672,00ea883ef56fb5e092cbe4a6f7ff2e7470886ac4,1,1,2,0,43,4,47,1,FALSE,44,5,49,å¹³è¡¡___,1,1,1,2,1,1,1,1,1,1,1
django/django,django__django,django__django-14730,4fe3774c729f3fd5105b3001fe69a70bdca95ac3,10,0,10,10,17,5,22,1,FALSE,27,5,32,ä»_·»_,0,0,0,0,0,0,0,0,0,0,0
django/django,django__django,django__django-14752,b64db05b9cedd96905d637a2d824cbbf428e40e7,10,2,12,8,24,0,24,1,TRUE,34,2,36,ä¸»èæ·»å_,1,10,2,12,1,1,1,1,1,1,1
django/django,django__django,django__django-14787,004b4620f6f4ad87261e149898940f2dcd5757ef,1,1,2,0,23,0,23,1,FALSE,24,1,25,å¹³è¡¡___,1,1,1,2,1,1,1,1,1,1,1
django/django,django__django,django__django-14855,475cffd1d64c690cdad16ede4d5e81985738ceb4,5,1,6,4,12,4,16,1,FALSE,17,5,22,ä¸»èæ·»å_,1,5,1,6,1,1,1,1,1,1,1
django/django,django__django,django__django-14915,903aaa35e5ceaa33bfc9b19b7f6da65ce5a91dd4,3,0,3,3,7,1,8,1,TRUE,10,1,11,ä»_·»_,1,3,0,3,1,1,1,1,1,1,1
django/django,django__django,django__django-14997,0d4e575c96d408e0efb4dfd0cbfc864219776950,1,5,6,-4,61,0,61,1,FALSE,62,5,67,ä¸»è___,0,0,0,0,0,0,0,0,0,0,0
django/django,django__django,django__django-14999,a754b82dac511475b6276039471ccd17cc64aeb8,6,5,11,1,22,0,22,1,FALSE,28,5,33,ä¸»èæ·»å_,1,6,5,11,1,0,1,1,1,0,1
django/django,django__django,django__django-15061,2c01ebb4be5d53cbf6450f356c10e436025d6d07,1,3,4,-2,20,7,27,1,FALSE,21,10,31,ä¸»è___,0,0,0,0,0,0,0,0,0,0,0
django/django,django__django,django__django-15202,4fd3044ca0135da903a70dfb66992293f529ecf1,7,6,13,1,4,0,4,1,FALSE,11,6,17,ä¸»èæ·»å_,0,0,0,0,0,0,0,0,0,0,0
django/django,django__django,django__django-15213,03cadb912c78b769d6bf4a943a2a35fc1d952960,9,0,9,9,20,0,20,1,TRUE,29,0,29,ä»_·»_,1,9,0,9,1,0,1,0,1,1,1
django/django,django__django,django__django-15252,361bb8f786f112ee275be136795c0b1ecefff928,6,2,8,4,40,3,43,1,FALSE,46,5,51,ä¸»èæ·»å_,0,0,0,0,0,0,0,0,0,0,0
django/django,django__django,django__django-15320,b55ebe32417e0884b6b8b3e1bc0379033aa221af,2,1,3,1,9,0,9,1,FALSE,11,1,12,ä¸»èæ·»å_,0,0,0,0,0,0,0,1,0,1,0
django/django,django__django,django__django-15347,7c4f3965098baad2396e24501e09237425a7bd6f,1,1,2,0,25,8,33,1,FALSE,26,9,35,å¹³è¡¡___,1,1,1,2,1,1,1,1,1,1,1
django/django,django__django,django__django-15388,c5cd8783825b5f6384417dac5f3889b4210b7d08,2,0,2,2,13,0,13,1,FALSE,15,0,15,ä»_·»_,0,0,0,0,1,0,1,0,0,0,0
django/django,django__django,django__django-15400,4c76ffc2d6c77c850b4bef8d9acc197d11c47937,6,0,6,6,11,0,11,1,TRUE,17,0,17,ä»_·»_,1,6,0,6,1,1,1,1,1,1,1
django/django,django__django,django__django-15498,d90e34c61b27fba2527834806639eebbcfab9631,3,1,4,2,3,0,3,1,FALSE,6,1,7,ä¸»èæ·»å_,0,0,0,0,1,1,1,1,1,1,0
django/django,django__django,django__django-15695,647480166bfe7532e8c471fef0146e3a17e6c0c9,3,0,3,3,5,0,5,1,FALSE,8,0,8,ä»_·»_,0,0,0,0,0,0,0,0,0,0,0
django/django,django__django,django__django-15738,6f73eb9d90cfec684529aab48d517e3d6449ba8c,3,2,5,1,46,4,50,1,FALSE,49,6,55,ä¸»èæ·»å_,0,0,0,0,0,0,0,0,0,0,0
django/django,django__django,django__django-15781,8d160f154f0240a423e83ffe0690e472f837373c,1,1,2,0,8,1,9,1,FALSE,9,2,11,å¹³è¡¡___,0,0,0,0,0,0,0,0,0,0,0
django/django,django__django,django__django-15789,d4d5427571b4bf3a21c902276c2a00215c2a37cc,4,2,6,2,11,0,11,1,TRUE,15,2,17,ä¸»èæ·»å_,1,4,2,6,1,1,1,1,1,1,1
django/django,django__django,django__django-15790,c627226d05dd52aef59447dcfb29cec2c2b11b8a,4,4,8,0,13,0,13,1,FALSE,17,4,21,å¹³è¡¡___,1,4,4,8,1,0,1,1,1,1,1
django/django,django__django,django__django-15814,5eb6a2b33d70b9889e1cafa12594ad6f80773d3a,1,0,1,1,6,0,6,1,FALSE,7,0,7,ä»_·»_,1,1,0,1,1,1,1,1,1,1,1
django/django,django__django,django__django-15819,877c800f255ccaa7abde1fb944de45d1616f5cc9,10,2,12,8,10,0,10,1,FALSE,20,2,22,ä¸»èæ·»å_,0,0,0,0,0,0,0,0,0,0,0
django/django,django__django,django__django-15851,b4817d20b9e55df30be0b1b2ca8c8bb6d61aab07,1,1,2,0,1,1,2,1,FALSE,2,2,4,å¹³è¡¡___,1,1,1,2,1,1,1,1,1,1,1
django/django,django__django,django__django-15902,44c24bf02835323d5418512ebe8e76166739ebf8,2,0,2,2,11,0,11,1,FALSE,13,0,13,ä»_·»_,1,2,0,2,1,1,1,1,1,1,1
django/django,django__django,django__django-15996,b30c0081d4d8a31ab7dc7f72a4c7099af606ef29,15,2,17,13,8,0,8,1,FALSE,23,2,25,ä¸»èæ·»å_,0,0,0,0,0,0,0,0,0,1,0
django/django,django__django,django__django-16041,6df9398cce063874ae4d59db126d4adacb0fa8d3,8,7,15,1,4,0,4,1,FALSE,12,7,19,ä¸»èæ·»å_,1,8,7,15,1,1,1,1,1,1,1
django/django,django__django,django__django-16046,ec13e801b820614ff374cb0046092caab8d67249,2,0,2,2,4,0,4,1,FALSE,6,0,6,ä»_·»_,1,2,0,2,1,1,1,1,1,1,1
django/django,django__django,django__django-16139,d559cb02da30f74debbb1fc3a46de0df134d2d80,3,1,4,2,22,0,22,1,FALSE,25,1,26,ä¸»èæ·»å_,1,3,1,4,1,1,1,1,1,1,1
django/django,django__django,django__django-16229,04b15022e8d1f49af69d8a1e6cd678f31f1280ff,9,1,10,8,40,0,40,1,FALSE,49,1,50,ä¸»èæ·»å_,0,0,0,0,0,0,0,0,0,0,0
django/django,django__django,django__django-16255,444b6da7cc229a58a2c476a52e45233001dc7073,1,1,2,0,29,0,29,1,FALSE,30,1,31,å¹³è¡¡___,1,1,1,2,1,0,1,1,1,1,1
django/django,django__django,django__django-16379,1d0fa848e084cad62d0bb6bde3b51e4862558e57,3,2,5,1,6,0,6,1,FALSE,9,2,11,ä¸»èæ·»å_,1,3,2,5,1,1,1,1,1,1,1
django/django,django__django,django__django-16400,0bd2c0c9015b53c41394a1c0989afbfd94dc2830,10,5,15,5,19,0,19,1,FALSE,29,5,34,ä¸»èæ·»å_,1,10,5,15,1,1,1,1,1,1,1
django/django,django__django,django__django-16408,ef85b6bf0bc5a8b194f0724cf5bbedbcee402b96,8,1,9,7,20,0,20,1,TRUE,28,1,29,ä¸»èæ·»å_,1,8,1,9,1,0,1,1,1,0,1
django/django,django__django,django__django-16527,bd366ca2aeffa869b7dbc0b0aa01caea75e6dc31,1,1,2,0,34,1,35,1,FALSE,35,2,37,å¹³è¡¡___,1,1,1,2,1,1,1,1,1,1,1
django/django,django__django,django__django-16595,f9fe062de5fc0896d6bbbf3f260b5c44473b3c77,3,3,6,0,12,6,18,1,FALSE,15,9,24,å¹³è¡¡___,1,3,3,6,1,1,1,1,1,1,1
django/django,django__django,django__django-16816,191f6a9a4586b5e5f79f4f42f190e7ad4bbacc84,4,3,7,1,24,0,24,1,FALSE,28,3,31,ä¸»èæ·»å_,0,0,0,0,0,0,0,0,0,0,0
django/django,django__django,django__django-16820,c61219a7ae051d2baab53f041e00592011fc550c,65,0,65,65,254,67,321,1,FALSE,319,67,386,ä»_·»_,0,0,0,0,0,0,0,0,0,0,0
django/django,django__django,django__django-16873,fce90950bef348803fa7cc3e6bc65f4bce429b82,3,2,5,1,17,1,18,1,FALSE,20,3,23,ä¸»èæ·»å_,1,3,2,5,1,1,1,1,1,1,1
django/django,django__django,django__django-16910,4142739af1cda53581af4169dbe16d6cd5e26948,7,1,8,6,35,0,35,1,FALSE,42,1,43,ä¸»èæ·»å_,0,0,0,0,0,1,1,1,1,0,0
django/django,django__django,django__django-17051,b7a17b0ea0a2061bae752a3a2292007d41825814,6,1,7,5,30,7,37,1,FALSE,36,8,44,ä¸»èæ·»å_,1,6,1,7,1,1,1,1,1,1,1
django/django,django__django,django__django-17087,4a72da71001f154ea60906a2f74898d32b7322a7,1,1,2,0,13,0,13,1,FALSE,14,1,15,å¹³è¡¡___,1,1,1,2,1,1,1,1,1,1,1
matplotlib/matplotlib,matplotlib__matplotlib,matplotlib__matplotlib-18869,b7d05919865fc0c37a0164cf467d5d5513bd0ede,51,16,67,35,10,0,10,1,TRUE,61,16,77,ä¸»èæ·»å_,0,0,0,0,0,0,0,0,0,0,0
matplotlib/matplotlib,matplotlib__matplotlib,matplotlib__matplotlib-22711,f670fe78795b18eb1118707721852209cd77ad51,20,4,24,16,12,1,13,1,FALSE,32,5,37,ä¸»èæ·»å_,0,0,0,0,0,0,0,0,0,0,0
matplotlib/matplotlib,matplotlib__matplotlib,matplotlib__matplotlib-22835,c33557d120eefe3148ebfcf2e758ff2357966000,15,4,19,11,163,0,163,1,FALSE,178,4,182,ä¸»èæ·»å_,0,0,0,0,0,0,0,0,0,1,0
matplotlib/matplotlib,matplotlib__matplotlib,matplotlib__matplotlib-23299,3eadeacc06c9f2ddcdac6ae39819faa9fbee9e39,4,1,5,3,7,0,7,1,FALSE,11,1,12,ä¸»èæ·»å_,0,0,0,0,0,0,0,0,0,0,0
matplotlib/matplotlib,matplotlib__matplotlib,matplotlib__matplotlib-23314,97fc1154992f64cfb2f86321155a7404efeb2d8a,2,0,2,2,13,1,14,1,FALSE,15,1,16,ä»_·»_,1,2,0,2,1,0,1,1,1,1,1
matplotlib/matplotlib,matplotlib__matplotlib,matplotlib__matplotlib-23476,33a0599711d26dc2b79f851c6daed4947df7c167,3,0,3,3,9,0,9,1,FALSE,12,0,12,ä»_·»_,0,0,0,0,0,0,0,0,0,0,0
matplotlib/matplotlib,matplotlib__matplotlib,matplotlib__matplotlib-23562,29a86636a9c45ab5ac4d80ac76eaee497f460dce,10,0,10,10,22,0,22,1,FALSE,32,0,32,ä»_·»_,1,10,0,10,1,1,1,1,1,1,1
matplotlib/matplotlib,matplotlib__matplotlib,matplotlib__matplotlib-23563,149a0398b391cfc4eddb5e659f50b3c66f32ea65,1,0,1,1,7,0,7,1,FALSE,8,0,8,ä»_·»_,1,1,0,1,0,0,0,0,1,0,1
